comparison,epsilon,n_pairs,median_diff,p_raw,p_holm,significant_0.05
floor_composed_vs_autonomy_only__empirical_ekf,10.0,192,0.25,1.460150937045282e-20,8.760905622271693e-20,1
floor_composed_vs_autonomy_only__empirical_campaign_sup,0.25,192,1.0,4.9448410311144846e-43,6.42829334044883e-42,1
floor_composed_vs_autonomy_only__empirical_campaign_sup,0.5,192,1.0,4.9448410311144846e-43,6.42829334044883e-42,1
floor_composed_vs_autonomy_only__empirical_campaign_sup,1.0,192,1.0,4.9448410311144846e-43,6.42829334044883e-42,1
floor_composed_vs_autonomy_only__empirical_campaign_sup,1.5,192,1.0,2.981025229313208e-42,2.981025229313208e-41,1
floor_composed_vs_autonomy_only__empirical_campaign_sup,2.0,192,1.0,2.981025229313208e-42,2.981025229313208e-41,1
floor_composed_vs_autonomy_only__empirical_campaign_sup,3.0,192,1.0,5.3548351537530484e-39,4.2838681230024387e-38,1
floor_composed_vs_autonomy_only__empirical_campaign_sup,4.0,192,1.0,3.948881383179071e-30,2.76421696822535e-29,1
floor_composed_vs_autonomy_only__empirical_campaign_sup,5.0,192,0.0,1.3218695699475287e-14,7.931217419685172e-14,1
floor_composed_vs_autonomy_only__empirical_campaign_sup,6.0,192,0.0,1.3218695699475287e-14,7.931217419685172e-14,1
floor_composed_vs_autonomy_only__empirical_campaign_sup,6.5,192,0.0,1.3218695699475287e-14,7.931217419685172e-14,1
floor_composed_vs_autonomy_only__empirical_campaign_sup,7.0,192,0.0,1.3218695699475287e-14,7.931217419685172e-14,1
floor_composed_vs_autonomy_only__empirical_campaign_sup,8.0,192,0.0,1.3218695699475287e-14,7.931217419685172e-14,1
floor_composed_vs_autonomy_only__empirical_campaign_sup,10.0,192,0.0,1.3218695699475287e-14,7.931217419685172e-14,1
recall_medium_vs_low,0.25,96,0.0,0.006655605482949377,0.03993363289769626,1
recall_medium_vs_low,0.5,96,0.0,0.006655605482949377,0.03993363289769626,1
recall_medium_vs_low,1.0,96,0.0,0.006655605482949377,0.03993363289769626,1
recall_medium_vs_low,1.5,96,0.0,0.19670560245894686,0.5901168073768406,0
recall_medium_vs_low,2.0,96,0.0,0.19670560245894686,0.5901168073768406,0
recall_medium_vs_low,3.0,96,0.0,0.5374397283294379,0.5901168073768406,0
recall_medium_vs_low,4.0,96,0.5,7.354141083540949e-09,5.147898758478664e-08,1
recall_medium_vs_low,5.0,96,0.5,3.802308406852707e-16,4.943000928908519e-15,1
recall_medium_vs_low,6.0,96,0.5,3.802308406852707e-16,4.943000928908519e-15,1
recall_medium_vs_low,6.5,96,0.5,3.802308406852707e-16,4.943000928908519e-15,1
recall_medium_vs_low,7.0,96,0.5,3.802308406852707e-16,4.943000928908519e-15,1
recall_medium_vs_low,8.0,96,0.5,3.802308406852707e-16,4.943000928908519e-15,1
recall_medium_vs_low,10.0,96,0.5,3.802308406852707e-16,4.943000928908519e-15,1
