theta_s,scenario,H_malicious_hops,mapping,gamma_m_s,delta_evade_worst_s,delta_pos_m,tube_m,amplification,certified_floor
3.0,1,2,empirical_ekf,1.365,6.0,8.19,26.68,gronwall_L1.181_T1,0.0
3.0,1,2,kinematic_v15,15.0,6.0,90.0,90.0,unamplified_A1,0.0
3.0,1,2,empirical_receiver,1.195,6.0,7.17,7.17,unamplified_A1,0.5
3.0,1,2,empirical_ekf,1.365,6.0,8.19,8.19,unamplified_A1,0.5
3.0,2,2,kinematic_v15,15.0,6.0,90.0,293.187,gronwall_L1.181_T1,0.0
3.0,2,2,empirical_receiver,1.195,6.0,7.17,23.357,gronwall_L1.181_T1,0.0
3.0,2,2,empirical_ekf,1.365,6.0,8.19,26.68,gronwall_L1.181_T1,0.0
3.0,2,2,kinematic_v15,15.0,6.0,90.0,90.0,unamplified_A1,0.0
3.0,2,2,empirical_receiver,1.195,6.0,7.17,7.17,unamplified_A1,0.5
3.0,2,2,empirical_ekf,1.365,6.0,8.19,8.19,unamplified_A1,0.5
3.0,3,2,kinematic_v15,15.0,6.0,90.0,293.187,gronwall_L1.181_T1,0.0
3.0,3,2,empirical_receiver,1.195,6.0,7.17,23.357,gronwall_L1.181_T1,0.0
3.0,3,2,empirical_ekf,1.365,6.0,8.19,26.68,gronwall_L1.181_T1,0.0
3.0,3,2,kinematic_v15,15.0,6.0,90.0,90.0,unamplified_A1,0.0
3.0,3,2,empirical_receiver,1.195,6.0,7.17,7.17,unamplified_A1,0.5
3.0,3,2,empirical_ekf,1.365,6.0,8.19,8.19,unamplified_A1,0.5
4.0,1,2,kinematic_v15,15.0,8.0,120.0,390.916,gronwall_L1.181_T1,0.0
4.0,1,2,empirical_receiver,1.195,8.0,9.56,31.143,gronwall_L1.181_T1,0.0
4.0,1,2,empirical_ekf,1.365,8.0,10.92,35.573,gronwall_L1.181_T1,0.0
4.0,1,2,kinematic_v15,15.0,8.0,120.0,120.0,unamplified_A1,0.0
4.0,1,2,empirical_receiver,1.195,8.0,9.56,9.56,unamplified_A1,0.5
4.0,1,2,empirical_ekf,1.365,8.0,10.92,10.92,unamplified_A1,0.25
4.0,2,2,kinematic_v15,15.0,8.0,120.0,390.916,gronwall_L1.181_T1,0.0
4.0,2,2,empirical_receiver,1.195,8.0,9.56,31.143,gronwall_L1.181_T1,0.0
4.0,2,2,empirical_ekf,1.365,8.0,10.92,35.573,gronwall_L1.181_T1,0.0
4.0,2,2,kinematic_v15,15.0,8.0,120.0,120.0,unamplified_A1,0.0
4.0,2,2,empirical_receiver,1.195,8.0,9.56,9.56,unamplified_A1,0.5
4.0,2,2,empirical_ekf,1.365,8.0,10.92,10.92,unamplified_A1,0.25
4.0,3,2,kinematic_v15,15.0,8.0,120.0,390.916,gronwall_L1.181_T1,0.0
4.0,3,2,empirical_receiver,1.195,8.0,9.56,31.143,gronwall_L1.181_T1,0.0
4.0,3,2,empirical_ekf,1.365,8.0,10.92,35.573,gronwall_L1.181_T1,0.0
4.0,3,2,kinematic_v15,15.0,8.0,120.0,120.0,unamplified_A1,0.0
4.0,3,2,empirical_receiver,1.195,8.0,9.56,9.56,unamplified_A1,0.5
4.0,3,2,empirical_ekf,1.365,8.0,10.92,10.92,unamplified_A1,0.25
5.0,1,2,kinematic_v15,15.0,10.0,150.0,488.645,gronwall_L1.181_T1,0.0
5.0,1,2,empirical_receiver,1.195,10.0,11.95,38.929,gronwall_L1.181_T1,0.0
5.0,1,2,empirical_ekf,1.365,10.0,13.65,44.467,gronwall_L1.181_T1,0.0
5.0,1,2,kinematic_v15,15.0,10.0,150.0,150.0,unamplified_A1,0.0
5.0,1,2,empirical_receiver,1.195,10.0,11.95,11.95,unamplified_A1,0.25
5.0,1,2,empirical_ekf,1.365,10.0,13.65,13.65,unamplified_A1,0.25
5.0,2,2,kinematic_v15,15.0,10.0,150.0,488.645,gronwall_L1.181_T1,0.0
5.0,2,2,empirical_receiver,1.195,10.0,11.95,38.929,gronwall_L1.181_T1,0.0
5.0,2,2,empirical_ekf,1.365,10.0,13.65,44.467,gronwall_L1.181_T1,0.0
5.0,2,2,kinematic_v15,15.0,10.0,150.0,150.0,unamplified_A1,0.0
5.0,2,2,empirical_receiver,1.195,10.0,11.95,11.95,unamplified_A1,0.25
5.0,2,2,empirical_ekf,1.365,10.0,13.65,13.65,unamplified_A1,0.25
5.0,3,2,kinematic_v15,15.0,10.0,150.0,488.645,gronwall_L1.181_T1,0.0
5.0,3,2,empirical_receiver,1.195,10.0,11.95,38.929,gronwall_L1.181_T1,0.0
5.0,3,2,empirical_ekf,1.365,10.0,13.65,44.467,gronwall_L1.181_T1,0.0
5.0,3,2,kinematic_v15,15.0,10.0,150.0,150.0,unamplified_A1,0.0
5.0,3,2,empirical_receiver,1.195,10.0,11.95,11.95,unamplified_A1,0.25
5.0,3,2,empirical_ekf,1.365,10.0,13.65,13.65,unamplified_A1,0.25
6.0,1,2,kinematic_v15,15.0,10.0,150.0,488.645,gronwall_L1.181_T1,0.0
6.0,1,2,empirical_receiver,1.195,10.0,11.95,38.929,gronwall_L1.181_T1,0.0
6.0,1,2,empirical_ekf,1.365,10.0,13.65,44.467,gronwall_L1.181_T1,0.0
6.0,1,2,kinematic_v15,15.0,10.0,150.0,150.0,unamplified_A1,0.0
6.0,1,2,empirical_receiver,1.195,10.0,11.95,11.95,unamplified_A1,0.25
6.0,1,2,empirical_ekf,1.365,10.0,13.65,13.65,unamplified_A1,0.25
6.0,2,2,kinematic_v15,15.0,10.0,150.0,488.645,gronwall_L1.181_T1,0.0
6.0,2,2,empirical_receiver,1.195,10.0,11.95,38.929,gronwall_L1.181_T1,0.0
6.0,2,2,empirical_ekf,1.365,10.0,13.65,44.467,gronwall_L1.181_T1,0.0
6.0,2,2,kinematic_v15,15.0,10.0,150.0,150.0,unamplified_A1,0.0
6.0,2,2,empirical_receiver,1.195,10.0,11.95,11.95,unamplified_A1,0.25
6.0,2,2,empirical_ekf,1.365,10.0,13.65,13.65,unamplified_A1,0.25
6.0,3,2,kinematic_v15,15.0,10.0,150.0,488.645,gronwall_L1.181_T1,0.0
6.0,3,2,empirical_receiver,1.195,10.0,11.95,38.929,gronwall_L1.181_T1,0.0
6.0,3,2,empirical_ekf,1.365,10.0,13.65,44.467,gronwall_L1.181_T1,0.0
6.0,3,2,kinematic_v15,15.0,10.0,150.0,150.0,unamplified_A1,0.0
6.0,3,2,empirical_receiver,1.195,10.0,11.95,11.95,unamplified_A1,0.25
6.0,3,2,empirical_ekf,1.365,10.0,13.65,13.65,unamplified_A1,0.25
6.5,1,2,kinematic_v15,15.0,10.0,150.0,488.645,gronwall_L1.181_T1,0.0
