parameter,min,max,source,note
waypoint_distance_km,2.0,12.0,uavbench/corpus.py rng.uniform,mission length; corridor half-width is a fraction of this - see below
corridor_margin_m,2.0,2.0,modeling family,tight geofence / urban corridor (stated)
corridor_margin_m,5.0,5.0,modeling family,standard waypoint tolerance (stated)
corridor_margin_m,10.0,10.0,modeling family,PX4 NAV_ACC_RAD default class (stated)
corridor_margin_m,20.0,20.0,modeling family,loose corridor / open-terrain (stated)
